id,latitude,longitude,count
142386,36.815823,-121.918842,1
90918,36.826253,-121.93651,1
141093,36.821327,-121.937123,1
85385,36.82607,-121.987762,1
71751,36.816667,-122.000333,1
97453,36.624311,-122.166831,1
24050,36.803163,-121.802065,1
83160,36.800835,-121.805047,1
126781,36.800995,-121.805537,1
45889,36.798553,-121.822495,1
133434,36.79855,-121.822495,1
52376,36.807647,-121.936353,1
12699,36.775535,-121.95986,1
74991,33.456002,-118.263445,1
1744,33.456002,-118.263445,1
122081,33.516562,-118.307538,1
6812,33.547272,-118.320773,1
12512,34.110448,-120.101988,1
85226,36.771667,-121.923333,1
48844,36.771667,-121.923333,1
30842,36.793688,-121.930965,1
49013,36.793802,-121.931057,1
39917,36.791975,-121.928522,1
8159,36.777496,-121.956664,1
80874,36.712812,-122.095398,1
115151,36.795178,-121.8976,1
108307,36.795183,-121.897603,1
107459,36.79491,-121.897875,1
24006,36.788312,-121.902372,1
127682,36.780893,-121.902393,1
106023,36.782312,-121.902893,1
115152,36.784353,-121.90299,1
144719,34.197108,-119.772091,1
110578,34.178932,-119.80505,1
1701,36.770915,-121.899657,1
64088,36.809505,-121.909492,1
20471,36.808217,-121.948925,1
137931,36.803333,-121.975,1
93776,33.48,-118.156667,1
125126,36.708333,-121.91,1
94170,36.708333,-121.91,1
16765,36.708333,-121.91,1
117453,36.823543,-121.965773,1
87646,36.823543,-121.965773,1
105108,36.873565,-122.027687,1
59509,36.829039,-121.95616,1
50824,36.81,-121.976667,1
1466,33.264878,-118.140276,1
125887,48.309201,-123.50251,1
125268,36.794192,-121.844228,1
73791,36.813697,-121.864358,1
12661,36.797658,-121.998278,1
41319,36.797713,-121.998323,1
83539,36.8,-122,1
51090,36.615678,-122.00919,1
94647,36.663932,-122.033403,1
119579,48.438424,-123.027374,1
132145,48.331551,-123.311867,1
55838,48.331551,-123.311867,1
52814,48.331551,-123.311867,1
58852,48.298512,-123.337798,1
32149,33.437622,-118.640815,1
108013,36.793497,-121.909602,1
54369,36.785373,-121.91205,1
73513,36.773333,-121.915,1
136501,36.793975,-121.955728,1
59363,36.801195,-121.967355,1
43089,34.265232,-119.898434,1
13672,36.754757,-121.933668,1
73553,36.802875,-121.981522,1
56531,36.802483,-121.990197,1
128441,36.796667,-121.991667,1
119336,36.752055,-121.989677,1
86342,36.782455,-121.89901,1
105975,36.783317,-121.917303,1
108254,36.738843,-121.970075,1
30763,36.723295,-121.979537,1
131138,55.31961,-131.599508,1
75750,36.68256,-121.872248,1
6949,36.789207,-121.88003,1
66697,36.78159,-121.88278,1
51757,36.783927,-121.895128,1
79498,36.777655,-121.898905,1
126183,36.824287,-121.907772,1
41283,36.711667,-121.921667,1
45812,36.810432,-121.924473,1
59829,36.81833,-121.929025,1
132067,36.805823,-121.9307,1
104665,33.492065,-117.964785,1
104238,33.492065,-117.964785,1
122048,34.119834,-119.750118,1
51327,34.192565,-119.887447,1
112848,36.724542,-121.856468,1
17238,36.724542,-121.856468,1
1204,36.724542,-121.856468,1
44843,36.814397,-121.899798,1
9482,36.797375,-121.908325,1
134856,36.765326,-121.936687,1
106007,36.765326,-121.936687,1
99137,36.668792,-121.945624,1
79019,33.55,-117.9,1
138892,34.206195,-119.903927,1
67283,34.206195,-119.920406,1
140623,34.201652,-119.931393,1
34590,36.745672,-121.860112,1
33068,36.736545,-121.860685,1
94610,36.737247,-121.862862,1
37636,36.81951,-121.869177,1
140079,36.841663,-121.935025,1
